time_s,rms_db,f0_hz,pitch_conf
14.56,-91.56971,0.0,0.01
14.592,-91.6153,0.0,0.01
14.624,-91.74912,0.0,0.01
14.656,-91.578224,0.0,0.01
14.688,-91.4716,0.0,0.01
14.72,-91.370255,0.0,0.01
14.752,-91.34596,0.0,0.01
14.784,-91.408325,0.0,0.01
14.816,-91.3811,0.0,0.01
14.848,-91.34057,302.26980244077964,0.01
14.88,-49.270874,255.6500291307247,0.010000001546554296
14.912,-25.263155,231.73942791006385,0.026168028608935755
14.944,-20.300505,241.30149553281768,0.04768699308253103
14.976,-19.122684,244.1052838549259,0.04768699308253103
15.008,-16.631952,249.81097439559304,0.010191075496968311
15.04,-16.327763,272.42079928303684,0.010259050559778861
15.072,-17.69544,275.58617649730814,0.12793708630129036
15.104,-18.509361,277.1826309768721,0.6860828109301791
15.136,-23.35051,282.02769802256034,0.8911444948731201
15.168,-27.208672,288.6197829762387,0.1504646013433388
15.2,-23.409527,280.40333801023763,0.4849868077159112
15.232,-22.948162,278.7883336231537,0.5485250542599844
15.264,-22.925043,278.7883336231537,0.5485250542599844
15.296,-24.128899,275.58617649730814,0.4260623290432809
15.328,-25.824316,263.1411467822288,0.17653060863289752
15.36,-25.420773,260.1187129259726,0.03489742801962526
15.392,-25.411507,258.62053938239393,0.04069733156888106
15.424,-25.886108,249.81097439559304,0.018187375734912182
15.456,-29.43783,213.73702705379327,0.026168028608935755
15.488,-30.020927,229.0776735576574,0.010467533617069903
15.52,-26.311457,229.0776735576574,0.12793708630129036
15.552,-25.34018,230.40470702053787,0.7571601330199093
15.584,-25.28205,230.40470702053787,0.8266685594724995
15.616,-25.515879,229.0776735576574,0.09203757081218113
15.648,-28.060528,222.55627686642293,0.010259050559778861
15.68,-31.607342,0.0,0.010000000021701592
15.712,-31.677168,0.0,0.010000000208892744
15.744,-28.274162,235.7901617579845,0.03489742801962526
15.776,-24.379665,226.44649206156825,0.3721358982975089
15.808,-22.864885,221.27444703492776,0.42606232904328095
15.84,-22.63779,219.99999999999997,0.5485250542599844
15.872,-23.765789,213.73702705379327,0.7571601330199091
15.904,-27.211836,206.4563592676515,0.7571601330199091
15.936,-30.620392,221.27444703492776,0.03489742801962526
15.968,-26.984638,219.99999999999997,0.3721358982975089
16.0,-23.75444,218.73289323986043,0.8266685594724996
16.032,-23.141922,218.73289323986043,0.48498680771591124
16.064,-22.32779,213.73702705379327,0.42606232904328095
16.096,-22.510015,210.06515286029162,0.42606232904328084
16.128,-23.744091,208.85526660911424,0.6860828109301789
16.16,-24.201162,207.65234878997256,0.8266685594724994
16.192,-26.184227,206.4563592676515,0.6159498854580681
16.224,-28.873531,204.08500572708806,0.09203757081218113
16.256,-30.903023,210.06515286029162,0.010000002871100368
16.288,-30.565386,216.22053167995523,0.010000000003996621
16.32,-29.217861,216.22053167995523,0.010000802780927255
16.352,-28.55318,216.22053167995523,0.010073751764282884
16.384,-28.84399,207.65234878997256,0.03489742801962526
16.416,-27.104012,202.90956258890662,0.32333605839064083
16.448,-26.022324,199.42369775418427,0.6159498854580681
16.48,-24.855726,198.27510177438265,0.6860828109301791
16.512,-24.132528,198.27510177438265,0.7571601330199094
16.544,-24.087585,198.27510177438265,0.8266685594724997
16.576,-23.721867,198.27510177438265,0.8911444948731202
16.608,-23.91165,198.27510177438265,0.9459302094659092
16.64,-24.38649,198.27510177438265,0.9459302094659092
16.672,-25.309618,198.27510177438265,0.6159498854580682
16.704,-26.840816,197.13312122062953,0.018187375734912088
16.736,-27.56863,0.0,0.010034039823155295
16.768,-28.137283,0.0,0.01006212450299811
16.8,-27.52975,198.27510177438265,0.010000025841740742
16.832,-27.51378,198.27510177438265,0.012403124792148643
16.864,-27.872965,198.27510177438265,0.279605165336359
16.896,-26.915108,197.13312122062953,0.6860828109301791
16.928,-26.502224,195.99771799087463,0.8266685594724995
16.96,-26.135653,193.74649219115264,0.8266685594724995
16.992,-26.038218,192.63059450929475,0.686082810930179
17.024,-26.106895,190.41804342135148,0.48498680771591124
17.056,-26.574902,190.41804342135148,0.42606232904328084
17.088,-27.139824,190.41804342135148,0.5485250542599845
17.12,-27.79638,190.41804342135148,0.6860828109301792
17.152,-29.237297,190.41804342135148,0.8911444948731204
17.184,-30.912735,189.3213161937526,0.8911444948731203
17.216,-32.889153,189.3213161937526,0.7571601330199091
17.248,-33.448055,190.41804342135148,0.2407543944755742
17.28,-33.53874,204.08500572708806,0.24075439447557412
17.312,-34.36091,207.65234878997256,0.5485250542599845
17.344,-35.325066,213.73702705379327,0.8911444948731202
17.376,-39.09791,216.22053167995523,0.9459302094659091
17.408,-59.188515,219.99999999999997,0.015085587297504338
17.44,-76.6302,233.08188075904494,0.06608151270920701
17.472,-91.416534,242.6993408760242,0.01
17.504,-91.575386,0.0,0.01
17.536,-91.5896,0.0,0.01
17.568,-91.592445,0.0,0.01
17.6,-91.578224,0.0,0.01
17.632,-91.586754,0.0,0.01
17.664,-91.56404,0.0,0.01
17.696,-91.54427,0.0,0.01
17.728,-91.48549,0.0,0.01
17.76,-91.592445,0.0,0.01
17.792,-91.578224,0.0,0.01
17.824,-91.42749,0.0,0.01
17.856,-91.493835,0.0,0.01
17.888,-91.4633,0.0,0.01
17.92,-91.466064,0.0,0.01
17.952,-91.62391,0.0,0.01
17.984,-91.64982,0.0,0.01
18.016,-91.56688,0.0,0.01
18.048,-91.56971,0.0,0.01
18.08,-91.47716,0.0,0.01
